gene,control_1,control_2,control_3,cold_1,cold_2,cold_3
Solyc00g009020,1292,1728,1211,1868,2179,1834
Solyc00g009030,0,1,0,1,0,1
Solyc00g009040,5,21,25,4,24,11
Solyc00g009050,0,2,4,0,1,1
Solyc00g009060,235,333,211,153,182,150
Solyc00g009070,0,0,0,0,0,0
Solyc00g009080,99,101,87,81,79,91
Solyc00g009090,0,1,2,0,0,0
Solyc00g009100,85,111,101,318,440,258
Solyc00g009110,96,178,74,102,102,138
Solyc00g009120,54,63,32,35,40,43
Solyc00g009130,57,53,35,28,45,35
Solyc00g009140,211,283,207,132,151,123
Solyc00g009240,0,0,0,0,0,0
Solyc00g009440,0,0,0,0,0,0
Solyc00g009540,0,0,0,0,0,0
Solyc00g009650,0,0,0,0,0,0
Solyc00g009660,0,0,0,0,0,0
Solyc00g009760,0,0,0,0,0,0
Solyc00g009770,0,0,0,0,0,0
Solyc00g009780,0,0,0,0,0,0
Solyc00g009790,0,0,0,0,0,0
Solyc00g009800,0,0,0,0,0,0
Solyc00g010100,0,0,0,0,0,0
Solyc00g010110,0,0,0,0,0,0
Solyc00g010210,0,0,0,0,0,0
Solyc00g010410,0,0,0,0,0,0
Solyc00g010420,0,0,0,0,0,0
Solyc00g010520,0,0,0,0,0,0
Solyc00g010530,0,0,0,0,0,0
Solyc00g010540,0,0,0,0,0,1
Solyc00g010550,0,0,0,0,0,0
Solyc00g010750,12,11,9,10,8,8
Solyc00g010760,0,0,0,0,0,0
Solyc00g010770,0,0,1,1,2,1
Solyc00g010780,0,0,0,0,0,0
Solyc00g010790,0,0,0,0,0,0
Solyc00g010810,0,0,0,0,0,0
Solyc00g010930,0,0,0,0,0,0
Solyc00g011130,0,0,0,0,0,0
Solyc00g011140,0,0,0,0,0,0
Solyc00g011150,0,0,0,0,0,0
Solyc00g011160,0,0,0,0,0,0
Solyc00g011170,0,0,0,0,0,0
Solyc00g011180,0,0,0,0,0,0
Solyc00g011310,0,0,0,0,0,0
Solyc00g011550,0,0,0,0,0,0
Solyc00g011560,0,0,0,0,0,0
Solyc00g011660,0,0,0,0,0,0
Solyc00g011670,0,0,0,0,0,0
Solyc00g011870,0,0,0,0,0,0
Solyc00g011880,12,19,15,6,6,10
Solyc00g011890,1554,2313,1867,1003,1136,1220
Solyc00g012090,0,0,0,0,0,0
Solyc00g012310,0,0,0,0,0,0
Solyc00g012430,0,0,0,0,0,0
Solyc00g012440,0,0,0,0,0,0
Solyc00g012540,0,0,0,0,0,0
Solyc00g012640,0,0,0,0,0,0
Solyc00g012650,0,0,0,0,0,0
Solyc00g012660,0,0,0,0,0,0
Solyc00g012670,0,0,0,0,0,0
Solyc00g012680,0,0,0,0,0,0
Solyc00g012690,0,0,0,0,0,0
Solyc00g012700,0,0,0,0,0,0
Solyc00g012800,0,0,0,0,0,0
Solyc00g012900,0,0,0,0,0,0
Solyc00g013000,0,0,0,0,0,0
Solyc00g013100,0,0,0,0,0,0
Solyc00g013110,0,0,0,0,0,0
Solyc00g013120,17,20,12,16,20,23
Solyc00g013130,56,91,55,45,43,43
Solyc00g013140,2,20,25,28,12,18
Solyc00g013150,1,0,0,0,0,0
Solyc00g013160,6,13,11,8,4,1
Solyc00g013170,0,0,0,0,0,0
Solyc00g013180,3,3,4,1,1,4
Solyc00g013190,0,3,2,2,3,1
Solyc00g013320,0,0,0,0,0,0
Solyc00g013330,0,0,0,0,0,0
Solyc00g013770,0,0,0,0,0,0
Solyc00g014170,0,0,0,0,0,0
Solyc00g014180,0,0,0,0,0,0
Solyc00g014190,0,0,0,0,0,0
Solyc00g014290,0,0,0,0,0,0
Solyc00g014390,0,0,0,0,0,0
Solyc00g014790,10,10,8,4,3,1
Solyc00g014800,0,1,2,1,0,0
Solyc00g014810,0,0,0,0,0,0
Solyc00g014820,4,1,1,1,0,0
Solyc00g014830,40,101,70,59,49,49
Solyc00g014840,1,0,2,2,1,0
Solyc00g014850,7,3,10,11,4,1
Solyc00g014860,1,0,0,0,0,0
Solyc00g014960,0,0,0,0,0,0
Solyc00g014970,0,0,0,0,0,0
Solyc00g014980,0,0,0,0,0,0
Solyc00g014990,0,0,0,0,0,0
Solyc00g015000,0,0,0,0,0,0
Solyc00g015600,0,0,0,0,0,0
Solyc00g015610,0,0,0,0,0,0
Solyc00g015720,0,0,0,0,0,0
Solyc00g015730,0,0,0,0,0,0
Solyc00g015740,0,0,0,0,0,0
Solyc00g015750,0,0,0,0,0,0
Solyc00g015760,0,0,0,0,0,0
Solyc00g015770,0,0,0,0,0,0
Solyc00g016470,0,0,0,0,0,0
Solyc00g016480,0,0,0,0,0,0
Solyc00g016490,0,0,0,0,0,0
Solyc00g016590,0,0,0,0,0,0
Solyc00g016790,0,0,0,0,0,0
Solyc00g016890,0,0,0,0,0,0
Solyc00g016900,0,0,0,0,0,0
Solyc00g016910,0,0,0,0,0,0
Solyc00g017210,0,0,0,0,0,0
Solyc00g017220,0,0,0,0,0,0
Solyc00g017230,0,0,0,0,0,0
Solyc00g017530,0,0,0,0,0,0
Solyc00g017540,0,0,0,0,0,0
Solyc00g017550,0,0,0,0,0,0
Solyc00g017750,0,0,0,0,0,0
Solyc00g017760,0,0,0,0,0,0
Solyc00g017860,0,0,0,0,0,0
Solyc00g017870,0,0,0,0,0,0
Solyc00g017880,0,0,0,0,0,0
Solyc00g017890,0,0,0,0,0,0
Solyc00g017900,0,0,0,0,0,0
Solyc00g017910,0,0,0,0,0,0
Solyc00g017920,0,0,0,0,0,0
Solyc00g017930,0,0,0,0,0,0
Solyc00g018760,0,0,0,0,0,0
Solyc00g018770,0,0,0,0,0,0
Solyc00g018970,0,0,0,0,0,0
Solyc00g019610,0,0,0,0,0,0
Solyc00g019620,0,0,0,0,0,0
Solyc00g019630,0,0,0,0,0,0
Solyc00g019730,2,9,12,1,7,6
Solyc00g019740,17,30,26,22,15,14
Solyc00g019750,1,8,7,4,2,2
Solyc00g019950,5,2,3,2,3,8
Solyc00g019960,0,0,0,0,0,0
Solyc00g019970,1,0,0,0,0,0
Solyc00g019980,3,2,2,0,0,0
Solyc00g019990,0,0,0,0,0,0
Solyc00g020000,0,1,0,0,0,0
Solyc00g020010,7,9,6,3,3,3
Solyc00g020020,0,1,1,1,1,0
Solyc00g020030,1,2,3,0,0,0
Solyc00g020040,1,0,1,2,1,0
Solyc00g020440,0,0,0,0,0,0
Solyc00g020540,0,0,0,0,0,0
Solyc00g020840,1,0,0,0,0,0
Solyc00g020940,0,0,0,0,0,0
Solyc00g020950,0,0,0,0,0,0
Solyc00g020960,0,0,0,0,0,0
Solyc00g020970,0,0,0,0,0,0
Solyc00g020980,0,0,0,0,0,0
Solyc00g020990,0,0,0,0,0,0
Solyc00g021490,0,0,0,0,0,0
Solyc00g021500,0,0,0,0,0,0
Solyc00g021510,0,0,0,0,0,0
Solyc00g021520,0,0,0,0,0,0
Solyc00g021530,0,0,0,0,0,0
Solyc00g021630,3,10,7,14,5,3
Solyc00g021640,14,53,74,34,14,35
Solyc00g021650,1,0,0,0,0,0
Solyc00g021660,0,0,1,0,0,1
Solyc00g022070,2,1,0,0,4,2
Solyc00g022080,0,0,0,0,0,0
Solyc00g022090,1,1,0,2,2,0
Solyc00g022100,18,17,19,16,9,16
Solyc00g022110,157,262,255,194,185,168
Solyc00g022920,0,0,0,0,0,0
Solyc00g023020,0,0,0,0,0,0
Solyc00g023030,0,0,0,0,0,0
Solyc00g023040,0,0,0,0,0,0
Solyc00g023050,0,0,0,0,0,0
Solyc00g023250,0,0,0,0,0,0
Solyc00g023260,0,0,0,0,0,0
Solyc00g023270,0,0,0,0,0,0
Solyc00g023470,0,0,0,0,0,0
Solyc00g023570,0,0,1,2,0,0
Solyc00g023580,0,0,0,0,0,0
Solyc00g023590,0,3,1,2,1,2
Solyc00g023600,0,0,0,0,0,0
Solyc00g023700,1,0,0,0,0,0
Solyc00g023710,0,0,0,0,2,0
Solyc00g024010,0,0,0,0,0,0
Solyc00g024020,0,0,0,0,0,0
Solyc00g024030,0,0,0,0,0,0
Solyc00g024040,0,0,0,0,0,0
Solyc00g024050,0,0,0,0,0,0
Solyc00g024150,392,365,351,535,613,299
Solyc00g024160,0,1,0,0,0,0
Solyc00g024170,0,0,0,0,0,0
Solyc00g024370,0,0,0,0,0,0
Solyc00g024570,1,0,1,0,0,0
Solyc00g024670,0,0,0,0,0,0
Solyc00g024680,0,0,0,0,0,0
Solyc00g024690,0,0,0,0,0,0
Solyc00g025290,31,51,24,32,25,28
Solyc00g025300,0,0,0,0,0,0
Solyc00g025400,3,2,2,4,7,7
Solyc00g025500,0,0,0,0,0,0
Solyc00g025510,0,0,0,0,0,0
Solyc00g025520,0,0,0,0,0,0
Solyc00g025530,0,0,0,0,0,0
Solyc00g025540,0,0,0,0,0,0
Solyc00g025650,0,0,0,0,0,0
Solyc00g025660,0,0,0,0,0,0
Solyc00g026160,1,7,5,0,0,0
Solyc00g026860,0,0,0,0,0,0
Solyc00g026870,0,0,0,0,0,0
Solyc00g026880,0,0,0,0,0,0
Solyc00g026890,0,0,0,0,0,0
Solyc00g026900,0,0,0,0,0,0
Solyc00g027120,0,0,0,0,0,0
Solyc00g027130,0,3,1,2,2,0
Solyc00g027140,1,5,4,2,3,3
Solyc00g027640,0,0,0,0,0,0
Solyc00g027650,0,0,0,0,0,0
Solyc00g027660,0,0,0,0,0,0
Solyc00g027670,0,0,0,0,0,0
Solyc00g027770,603,697,606,295,273,297
Solyc00g027870,0,0,0,0,0,0
Solyc00g027970,0,0,0,0,0,0
Solyc00g027980,0,0,0,0,0,0
Solyc00g027990,0,0,0,0,0,0
Solyc00g028090,0,0,0,0,0,0
Solyc00g028100,0,0,0,0,0,0
Solyc00g028110,0,0,0,0,0,0
Solyc00g028120,0,0,0,0,0,0
Solyc00g028420,0,1,0,0,0,0
Solyc00g028520,0,0,0,0,0,0
Solyc00g028530,0,0,0,0,0,0
Solyc00g028540,0,0,0,0,0,0
Solyc00g028550,0,0,0,0,0,0
Solyc00g028560,0,0,0,0,0,0
Solyc00g028760,5,0,3,20,2,19
