gene,control_1,control_2,control_3,cold_1,cold_2,cold_3
Solyc03g025890,289,330,340,224,275,334
Solyc03g025900,3,0,4,3,3,4
Solyc03g025910,213,290,231,335,413,325
Solyc03g025920,25,39,27,22,40,31
Solyc03g025930,30,47,35,38,28,37
Solyc03g025940,80,87,73,101,75,116
Solyc03g025950,1324,1867,1279,1979,1918,1868
Solyc03g025960,20,82,35,3,2,4
Solyc03g025970,485,721,619,291,473,306
Solyc03g025980,199,255,175,111,158,148
Solyc03g025990,50,94,50,23,28,15
Solyc03g026000,3,13,3,5,4,4
Solyc03g026010,14,26,11,45,44,35
Solyc03g026020,2651,2559,2723,372,383,391
Solyc03g026030,0,0,0,0,0,0
Solyc03g026040,0,0,0,0,0,0
Solyc03g026050,1,1,2,0,2,1
Solyc03g026060,132,113,134,120,121,155
Solyc03g026070,10,15,11,5,5,9
Solyc03g026080,3,3,8,1,5,5
Solyc03g026090,0,0,0,0,0,0
Solyc03g026100,100,124,91,52,46,57
Solyc03g026110,197,246,214,53,56,57
Solyc03g026120,3,2,1,4,52,28
Solyc03g026130,4,15,3,3,1,4
Solyc03g026140,10,16,4,3,6,3
Solyc03g026150,24,14,5,5,10,4
Solyc03g026160,1,0,0,0,0,0
Solyc03g026170,199,222,168,289,276,242
Solyc03g026180,70,73,63,90,90,120
Solyc03g026190,406,561,391,608,775,730
Solyc03g026200,29,19,19,2,5,4
Solyc03g026210,0,0,0,1,3,0
Solyc03g026220,303,485,463,497,594,612
Solyc03g026230,29,6,18,82,26,79
Solyc03g026240,104,115,93,89,86,118
Solyc03g026250,1,0,0,2,1,1
Solyc03g026260,16,21,17,38,29,26
Solyc03g026270,3,0,3,100,37,123
Solyc03g026280,16,15,20,167,124,233
Solyc03g026290,51,71,49,30,57,59
Solyc03g026300,53,76,41,16,26,16
Solyc03g026310,259,341,261,107,144,123
Solyc03g026320,84,116,124,52,39,47
Solyc03g026330,0,0,6,7,8,1
Solyc03g026340,539,707,558,377,394,446
Solyc03g026350,245,301,286,336,421,370
Solyc03g026360,0,0,0,0,0,0
Solyc03g026370,13,8,5,225,224,154
Solyc03g026400,0,0,0,0,0,0
Solyc03g026410,0,0,0,0,0,0
Solyc03g031410,0,0,0,0,0,0
Solyc03g031420,14,47,17,9,11,7
Solyc03g031430,53,103,55,22,28,30
Solyc03g031440,100,176,107,33,51,42
Solyc03g031450,7,4,7,121,30,35
Solyc03g031460,41,68,34,53,72,64
Solyc03g031470,0,0,3,0,1,2
Solyc03g031480,0,0,0,0,0,0
Solyc03g031490,0,0,0,0,0,0
Solyc03g031500,0,0,0,0,0,0
Solyc03g031510,0,0,0,0,0,0
Solyc03g031520,0,0,0,0,0,0
Solyc03g031530,0,0,0,0,0,0
Solyc03g031540,0,0,0,0,0,0
Solyc03g031550,0,0,0,0,0,0
Solyc03g031560,3,4,7,2,1,3
Solyc03g031570,0,0,0,0,0,0
Solyc03g031580,0,0,0,0,0,0
Solyc03g031590,0,0,0,0,0,0
Solyc03g031600,46,75,35,45,65,51
Solyc03g031610,0,0,0,0,0,0
Solyc03g031620,350,626,294,245,178,289
Solyc03g031630,458,271,419,58,14,81
Solyc03g031640,0,0,0,0,0,0
Solyc03g031650,45,45,32,121,126,105
Solyc03g031660,0,0,0,0,0,0
Solyc03g031670,842,1087,880,605,791,926
Solyc03g031680,14,17,12,1,6,6
Solyc03g031690,296,434,288,296,326,285
Solyc03g031700,716,848,668,1237,1704,1050
Solyc03g031710,0,0,0,0,0,0
Solyc03g031720,1498,1719,1368,802,852,1213
Solyc03g031730,0,0,0,0,1,0
Solyc03g031740,0,0,0,0,0,0
Solyc03g031750,281,513,315,542,586,585
Solyc03g031760,2,6,14,1,9,9
Solyc03g031770,0,0,0,0,0,0
Solyc03g031780,4,7,1,0,1,0
Solyc03g031790,342,470,243,289,360,287
Solyc03g031800,0,1,0,0,0,0
Solyc03g031810,0,0,0,0,0,0
Solyc03g031820,106,144,122,58,66,53
Solyc03g031830,38,52,15,17,18,13
Solyc03g031840,55,106,63,23,34,21
Solyc03g031850,55,84,56,33,20,31
Solyc03g031860,32307,47728,32657,10059,14232,7828
Solyc03g031870,0,2,0,0,0,0
Solyc03g031880,93,63,115,27,12,29
Solyc03g031890,433,448,416,256,291,261
Solyc03g031900,0,0,0,0,1,0
Solyc03g031910,39,145,13,144,189,168
Solyc03g031920,881,1465,817,483,486,566
Solyc03g031930,0,0,0,0,0,0
Solyc03g031940,0,0,0,1,2,0
Solyc03g031950,2480,2883,2213,2471,2848,2067
Solyc03g031960,0,0,0,0,0,0
Solyc03g031970,473,583,380,556,712,577
Solyc03g031980,4,5,0,0,0,0
Solyc03g031990,1,0,0,0,0,2
Solyc03g032000,99,162,100,103,117,114
Solyc03g032010,331,516,415,194,242,235
Solyc03g032020,427,651,527,266,288,264
Solyc03g032030,20,15,9,73,116,71
Solyc03g032040,22,146,15,2,2,1
Solyc03g032050,225,258,231,277,348,326
Solyc03g032060,9,16,10,4,8,6
Solyc03g032070,597,653,555,545,757,622
Solyc03g032080,0,3,0,0,0,0
Solyc03g032090,83,132,83,89,72,71
Solyc03g032100,23,37,22,36,55,58
Solyc03g032110,0,0,1,1,3,0
Solyc03g032120,27,36,28,20,11,17
Solyc03g032130,1545,1746,1390,4783,6723,4606
Solyc03g032140,139,154,130,229,227,231
Solyc03g032150,103,115,104,374,500,588
Solyc03g032160,808,1005,650,992,1292,1168
Solyc03g032170,0,3,0,0,1,2
Solyc03g032180,113,96,88,24,29,32
Solyc03g032190,2,10,0,0,0,0
Solyc03g032200,0,0,0,0,0,0
Solyc03g032210,6,5,6,14,8,8
Solyc03g032220,2,0,1,0,1,1
Solyc03g032230,0,0,0,0,0,0
Solyc03g032240,3,7,5,8,6,10
Solyc03g033240,0,0,0,0,0,0
Solyc03g033250,0,0,0,0,0,0
Solyc03g033260,9,7,6,3,2,1
Solyc03g033270,4,2,1,2,0,0
Solyc03g033280,0,1,0,0,0,0
Solyc03g033290,0,0,0,0,0,0
Solyc03g033300,0,0,0,0,0,0
Solyc03g033310,387,373,324,360,474,489
Solyc03g033320,81,74,53,39,49,44
Solyc03g033330,222,149,150,39,35,62
Solyc03g033340,117,184,128,178,275,237
Solyc03g033350,0,0,0,0,0,0
Solyc03g033360,0,0,0,0,0,0
Solyc03g033370,0,3,1,2,5,1
Solyc03g033380,223,309,219,214,209,198
Solyc03g033390,66,35,56,44,54,50
Solyc03g033400,288,379,328,479,639,562
Solyc03g033410,0,0,0,2,3,1
Solyc03g033420,80,115,70,179,230,225
Solyc03g033430,0,0,0,0,0,0
Solyc03g033440,5,14,10,4,4,5
Solyc03g033450,94,130,84,77,92,111
Solyc03g033460,4,17,2,2,9,12
Solyc03g033470,21,20,13,7,10,6
Solyc03g033480,49,54,55,37,39,37
Solyc03g033490,0,2,2,6,7,6
Solyc03g033500,94,107,83,97,100,131
Solyc03g033510,5,15,4,2,4,3
Solyc03g033520,63,69,49,24,44,40
Solyc03g033530,29,31,30,24,43,27
Solyc03g033540,231,310,158,118,206,151
Solyc03g033550,0,0,0,0,0,0
Solyc03g033560,1096,1188,984,393,409,537
Solyc03g033570,0,0,0,0,0,0
Solyc03g033580,227,299,225,286,316,297
Solyc03g033590,0,0,0,0,0,0
Solyc03g033600,158,215,166,280,278,307
Solyc03g033610,3,2,0,0,0,1
Solyc03g033620,317,427,274,335,379,277
Solyc03g033630,279,327,241,113,128,163
Solyc03g033640,217,332,201,312,436,440
Solyc03g033650,108,137,125,100,109,92
Solyc03g033660,3,8,1,0,1,0
Solyc03g033670,0,0,0,0,0,0
Solyc03g033680,0,0,0,0,0,0
Solyc03g033690,1,7,2,0,3,0
Solyc03g033700,0,0,0,0,0,0
Solyc03g033710,0,0,0,0,0,0
Solyc03g033720,14,13,15,31,30,20
Solyc03g033730,1,0,0,1,0,2
Solyc03g033740,0,0,0,0,0,0
Solyc03g033750,0,0,0,0,0,0
Solyc03g033760,0,0,0,0,0,0
Solyc03g033770,0,0,0,0,0,0
Solyc03g033780,1,0,0,0,0,0
Solyc03g033790,5,9,3,0,1,1
Solyc03g033800,0,0,0,0,0,0
Solyc03g033810,12,12,17,3,4,13
Solyc03g033820,0,0,1,1,1,1
Solyc03g033830,0,0,0,0,0,0
Solyc03g033840,22,30,6,241,89,244
Solyc03g033850,76,76,51,33,32,46
Solyc03g033860,0,0,0,0,0,0
Solyc03g033870,0,0,0,0,0,0
Solyc03g033880,0,0,0,0,0,0
Solyc03g033890,0,0,0,0,0,0
Solyc03g033900,0,0,0,0,0,0
Solyc03g033910,2,2,1,2,2,1
Solyc03g033920,2,2,1,2,1,3
Solyc03g033930,0,0,0,0,0,0
Solyc03g033940,0,0,0,0,0,0
Solyc03g033950,1485,1486,1356,654,723,947
Solyc03g033960,0,0,0,0,0,0
Solyc03g033970,0,0,0,0,0,0
Solyc03g033980,236,239,208,109,134,130
Solyc03g033990,198,202,154,181,195,214
Solyc03g034000,0,0,0,0,0,0
Solyc03g034010,0,0,0,0,0,0
Solyc03g034020,22,50,31,50,79,52
Solyc03g034030,42,44,91,30,79,135
Solyc03g034040,11,18,22,5,18,50
Solyc03g034050,19,22,16,9,14,11
Solyc03g034060,0,1,0,0,0,0
Solyc03g034070,0,0,0,2,1,1
Solyc03g034080,886,939,815,1293,1536,1739
Solyc03g034090,13,19,8,10,15,9
Solyc03g034100,3,5,2,4,1,3
Solyc03g034110,0,0,0,0,0,0
Solyc03g034120,0,0,0,0,0,0
Solyc03g034130,0,0,0,0,0,0
Solyc03g034140,110,106,77,203,281,203
Solyc03g034150,3,1,0,2,2,1
Solyc03g034160,41,28,39,34,50,49
Solyc03g034170,64,69,70,98,155,51
Solyc03g034180,304,339,269,575,659,583
Solyc03g034190,43,79,65,58,57,38
Solyc03g034200,874,1028,880,916,1045,1073
Solyc03g034210,3,5,0,1,2,1
Solyc03g034220,48,44,28,97,333,25
Solyc03g034230,1,0,0,1,4,2
Solyc03g034240,0,0,1,1,3,2
Solyc03g034250,35,42,40,55,65,46
Solyc03g034260,1,0,0,0,0,1
Solyc03g034270,78,105,86,71,75,68
Solyc03g034280,0,0,0,0,0,0
Solyc03g034290,0,0,0,0,0,0
Solyc03g034300,0,0,1,0,0,0
Solyc03g034310,0,0,0,0,1,0
Solyc03g034320,21,8,33,839,575,1447
Solyc03g034330,8,10,12,4,6,0
Solyc03g034340,4,15,11,3,7,9
Solyc03g034360,0,1,0,0,0,0
Solyc03g034370,0,0,0,0,0,0
Solyc03g034380,0,0,0,0,0,0
Solyc03g034390,0,0,0,0,0,0
Solyc03g034400,0,0,0,0,0,0
Solyc03g034410,5,0,1,2,0,6
Solyc03g034420,0,0,0,0,1,0
Solyc03g034430,1319,1450,1266,700,923,805
Solyc03g034440,2006,2144,1939,550,698,642
Solyc03g034450,77,69,54,128,124,121
Solyc03g034460,13,16,23,2,1,5
Solyc03g036460,4,2,5,1,1,2
Solyc03g036470,16,37,9,17,31,18
Solyc03g036480,0,0,0,0,0,0
Solyc03g037490,0,0,2,0,0,0
Solyc03g042500,0,0,0,0,0,0
Solyc03g042510,0,0,0,0,0,0
Solyc03g042520,0,0,0,0,0,0
Solyc03g042530,0,0,0,0,0,0
Solyc03g042540,0,0,0,0,0,0
Solyc03g042550,2,6,8,0,1,2
Solyc03g042560,32,77,30,32,57,36
Solyc03g043570,0,0,0,0,0,0
Solyc03g043580,0,0,0,0,0,0
Solyc03g043590,0,0,1,0,0,0
Solyc03g043600,287,361,289,161,156,151
Solyc03g043610,6,15,12,7,6,10
Solyc03g043620,0,0,0,0,0,0
Solyc03g043630,4,8,4,2,1,1
Solyc03g043640,1,3,4,5,4,1
Solyc03g043650,0,0,0,0,0,0
Solyc03g043660,829,929,809,127,146,157
Solyc03g043670,0,0,1,1,0,0
Solyc03g043680,1,1,2,3,1,3
Solyc03g043690,0,0,0,0,0,0
Solyc03g043700,72,42,35,53,93,62
Solyc03g043710,0,0,0,0,0,0
Solyc03g043720,20,44,29,11,14,11
Solyc03g043730,0,1,0,0,0,0
Solyc03g043740,31,35,54,60,96,34
Solyc03g043750,540,652,615,300,420,271
Solyc03g043760,1052,1028,1068,440,471,576
Solyc03g043770,0,0,0,0,0,0
Solyc03g043780,0,0,0,0,0,0
Solyc03g043790,0,0,0,0,0,0
Solyc03g043810,0,0,0,0,0,0
Solyc03g043820,0,0,0,0,0,0
Solyc03g043830,0,0,0,0,0,0
Solyc03g043840,0,1,0,0,0,0
Solyc03g043850,706,1327,863,308,369,281
Solyc03g043860,2,16,3,1,1,2
Solyc03g043870,1,1,4,10,10,4
Solyc03g043880,17,26,6,72,54,64
Solyc03g043890,6,3,8,4,4,7
Solyc03g043900,99,120,48,351,441,449
Solyc03g043910,2,1,0,1,2,1
Solyc03g043920,0,4,0,1,0,0
Solyc03g043930,12,24,5,10,16,4
Solyc03g043940,47,59,32,13,30,13
Solyc03g043950,112,159,93,6,10,11
Solyc03g043960,211,237,233,147,120,146
Solyc03g043970,0,0,0,0,0,0
Solyc03g043980,0,0,0,0,0,0
Solyc03g043990,0,0,0,0,0,0
Solyc03g044000,551,739,525,932,1018,1147
Solyc03g044010,247,371,236,212,256,244
Solyc03g044020,20,18,15,63,55,67
Solyc03g044030,13,21,18,7,3,6
Solyc03g044040,0,0,0,1,1,1
Solyc03g044050,8,7,5,0,2,6
Solyc03g044060,107,196,141,32,55,26
Solyc03g044070,0,0,0,1,0,0
Solyc03g044080,90,81,93,198,206,203
Solyc03g044090,5,6,8,3,1,1
Solyc03g044100,21,15,8,25,22,37
Solyc03g044110,0,0,0,0,0,0
Solyc03g044120,0,0,0,0,0,0
Solyc03g044140,628,867,719,613,753,634
Solyc03g044150,35,68,34,9,12,13
Solyc03g044160,34,47,21,5,3,3
Solyc03g044170,0,0,0,0,0,0
Solyc03g044180,6,8,1,0,0,0
Solyc03g044190,490,702,498,293,330,240
Solyc03g044200,119,253,134,66,84,48
Solyc03g044210,0,0,0,0,0,0
Solyc03g044220,38,48,34,15,16,29
Solyc03g044230,0,0,0,0,0,0
Solyc03g044240,0,0,0,0,0,0
Solyc03g044250,1,0,0,2,0,0
Solyc03g044260,279,342,193,239,235,277
Solyc03g044270,114,176,111,155,184,171
Solyc03g044280,0,0,0,0,0,0
Solyc03g044290,0,0,0,0,0,0
Solyc03g044300,1488,2236,1835,4138,4652,3796
Solyc03g044310,0,0,1,0,0,0
Solyc03g044320,0,0,0,0,0,0
Solyc03g044330,1180,1095,863,559,449,503
Solyc03g044340,0,1,1,0,0,0
Solyc03g044350,87,97,89,40,66,53
Solyc03g044360,0,0,1,0,1,0
Solyc03g044370,67,103,84,99,130,177
Solyc03g044380,19,39,26,60,63,75
Solyc03g044390,0,0,0,0,0,0
Solyc03g044400,0,1,0,0,0,0
Solyc03g044410,1,0,0,0,0,0
Solyc03g044420,0,3,0,2,1,0
Solyc03g044430,47,112,65,47,64,30
Solyc03g044440,3,4,1,0,2,1
Solyc03g044450,0,0,0,0,0,0
Solyc03g044460,7,4,2,2,0,0
Solyc03g044470,102,126,102,35,57,40
Solyc03g044480,0,0,0,1,0,0
Solyc03g044490,0,0,0,0,0,0
Solyc03g044500,0,0,0,0,0,0
Solyc03g044510,28,31,15,31,32,20
Solyc03g044520,0,0,3,0,0,0
Solyc03g044530,0,0,0,0,0,0
Solyc03g044540,0,0,0,0,0,0
Solyc03g044550,0,0,0,0,0,0
Solyc03g044560,0,0,0,0,0,0
Solyc03g044570,0,0,0,0,0,0
Solyc03g044580,0,0,0,0,0,0
Solyc03g044590,0,0,0,0,0,0
Solyc03g044600,18,33,11,0,0,2
Solyc03g044610,0,0,0,0,0,0
Solyc03g044620,301,308,229,153,162,183
Solyc03g044630,0,0,0,0,0,0
Solyc03g044640,0,0,0,0,0,0
Solyc03g044660,60,108,77,110,103,94
Solyc03g044670,43,109,57,6,10,14
Solyc03g044690,0,0,0,0,0,0
Solyc03g044700,0,0,0,0,0,0
Solyc03g044710,7,3,4,4,2,1
Solyc03g044720,35,59,34,85,96,88
Solyc03g044730,0,0,0,2,0,0
Solyc03g044740,1,2,0,1,0,1
Solyc03g044790,48,65,38,13,6,12
Solyc03g044800,0,0,0,0,0,1
Solyc03g044810,8,10,6,0,3,1
Solyc03g044820,7,11,20,4,0,3
Solyc03g044830,0,2,0,0,0,0
Solyc03g044840,0,0,0,0,0,1
Solyc03g044850,5,13,5,95,133,154
Solyc03g044860,0,3,0,0,0,0
Solyc03g044870,0,0,1,0,0,0
Solyc03g044880,57,74,49,43,68,73
Solyc03g044890,0,0,0,0,0,0
Solyc03g044900,2,15,3,13,38,21
Solyc03g044910,221,586,194,388,523,542
Solyc03g044920,0,0,0,0,0,0
Solyc03g044930,0,0,0,0,0,0
Solyc03g044940,0,0,0,0,0,0
Solyc03g044950,0,0,0,1,0,1
Solyc03g044960,0,0,3,1,0,0
Solyc03g044970,0,0,0,0,0,0
Solyc03g044980,0,1,1,1,0,0
Solyc03g044990,0,0,0,0,0,0
Solyc03g045000,1,1,1,1,0,0
Solyc03g045010,0,0,0,0,0,0
Solyc03g045020,0,0,0,0,0,0
Solyc03g045030,5,1,0,0,0,0
Solyc03g045040,0,0,0,0,0,0
Solyc03g045050,996,1060,891,1116,1352,1567
Solyc03g045060,276,282,242,360,493,462
Solyc03g045070,0,0,0,0,0,0
Solyc03g045080,0,0,0,0,0,0
Solyc03g045090,1136,1202,999,1427,1504,1435
Solyc03g045100,0,0,0,0,0,0
Solyc03g045110,47,60,65,103,119,119
Solyc03g045120,0,1,0,1,0,0
Solyc03g045130,1,10,2,1,1,0
Solyc03g045140,31,83,39,57,104,81
Solyc03g045150,0,0,0,0,0,0
Solyc03g046160,0,0,0,0,0,0
Solyc03g046170,0,0,0,0,0,0
Solyc03g046180,0,0,0,0,0,0
Solyc03g046190,0,0,0,0,0,0
Solyc03g046200,0,0,0,0,0,0
Solyc03g046220,0,1,0,0,0,0
Solyc03g046230,0,0,0,0,0,0
Solyc03g046240,0,0,0,0,0,0
Solyc03g046250,7,12,13,10,4,11
Solyc03g046260,0,0,0,0,0,0
Solyc03g046270,0,0,0,0,2,0
Solyc03g046280,0,0,0,0,0,0
Solyc03g046290,0,0,0,0,0,0
Solyc03g046300,0,0,0,0,0,0
Solyc03g046310,0,0,0,0,0,0
Solyc03g046320,0,0,0,0,0,0
Solyc03g046330,0,0,0,0,0,0
Solyc03g046340,54,110,68,168,229,169
Solyc03g046350,288,307,244,255,302,312
Solyc03g046360,0,0,0,0,0,0
Solyc03g046370,0,0,0,0,0,0
Solyc03g046380,153,130,259,322,555,523
Solyc03g046390,0,0,0,0,0,0
Solyc03g046400,0,0,0,0,0,0
Solyc03g046410,5,15,7,10,12,6
Solyc03g046420,0,2,0,2,2,0
Solyc03g046430,0,0,0,0,0,0
Solyc03g046440,0,0,0,0,0,0
Solyc03g046450,559,799,671,202,219,249
Solyc03g046460,0,0,0,0,0,0
Solyc03g046470,58,84,55,61,73,58
Solyc03g046480,0,0,1,0,0,0
Solyc03g046490,0,0,0,0,0,0
Solyc03g046510,0,0,0,0,0,0
Solyc03g046540,0,0,0,0,0,0
Solyc03g046570,233,278,200,125,142,131
Solyc03g046580,0,0,0,0,0,0
Solyc03g046590,137,116,145,226,316,330
Solyc03g051590,2,3,1,5,2,3
Solyc03g051600,0,0,0,0,0,0
Solyc03g051610,0,0,0,0,0,0
Solyc03g051620,0,0,0,0,0,0
Solyc03g051630,0,0,0,0,1,0
Solyc03g051640,0,0,0,0,0,0
Solyc03g051650,0,0,0,0,0,0
Solyc03g051660,2,1,2,0,0,1
Solyc03g051670,0,0,0,0,0,0
Solyc03g051680,4,1,3,0,0,1
Solyc03g051690,5,0,0,0,0,3
Solyc03g051700,8,0,2,4,0,0
Solyc03g051710,0,0,0,0,0,0
Solyc03g051720,0,0,0,0,0,0
Solyc03g051730,0,0,0,0,0,0
Solyc03g051740,0,0,0,0,0,0
Solyc03g051750,0,0,0,0,0,0
Solyc03g051760,0,0,0,0,0,0
Solyc03g051770,204,269,241,164,232,196
Solyc03g051780,2,4,1,2,1,1
Solyc03g051790,56,105,62,235,277,253
Solyc03g051800,0,0,0,0,0,0
Solyc03g051810,69,117,70,63,70,37
Solyc03g051820,0,0,0,0,0,0
Solyc03g051880,0,0,0,0,0,0
Solyc03g051890,0,1,0,0,0,0
Solyc03g051900,293,281,260,401,498,566
Solyc03g051910,0,0,0,0,0,0
Solyc03g051920,91,119,52,126,126,96
Solyc03g051930,24,29,27,39,19,23
Solyc03g051940,0,0,0,0,0,0
Solyc03g051950,26,25,27,24,21,17
Solyc03g051960,0,0,0,1,0,0
Solyc03g051970,195,227,134,172,206,193
Solyc03g052970,0,0,0,0,0,0
Solyc03g052980,605,806,514,911,1114,979
Solyc03g052990,0,0,0,0,0,0
Solyc03g053000,53,73,62,57,55,52
Solyc03g053010,274,336,233,247,281,310
Solyc03g053020,56,62,56,49,61,48
Solyc03g053030,0,0,0,0,4,0
Solyc03g053040,10,4,8,1,1,5
Solyc03g053050,0,0,0,0,0,0
Solyc03g053060,0,0,1,0,0,0
Solyc03g053070,0,0,0,0,0,0
Solyc03g053080,101,129,126,42,87,90
Solyc03g053090,0,0,0,2,0,0
Solyc03g053100,165,169,176,73,111,135
Solyc03g053110,45,66,43,20,28,13
Solyc03g053120,0,0,0,0,0,0
Solyc03g053130,0,1,1,0,2,0
Solyc03g053140,2,1,6,1,2,1
Solyc03g058140,0,0,0,0,0,0
Solyc03g058150,0,0,0,0,0,0
Solyc03g058160,0,0,3,1,0,2
Solyc03g058170,0,0,0,0,0,0
Solyc03g058180,0,0,0,0,0,0
Solyc03g058190,544,675,479,657,1116,572
Solyc03g058200,0,0,0,0,0,0
Solyc03g058210,0,0,0,0,0,0
Solyc03g058220,0,0,0,0,0,0
Solyc03g058230,0,0,0,0,0,0
Solyc03g058240,0,0,0,0,0,0
Solyc03g058250,0,0,0,0,0,0
Solyc03g058260,0,0,0,0,0,0
Solyc03g058270,0,0,0,0,0,0
Solyc03g058280,0,0,0,0,0,0
Solyc03g058300,0,0,0,0,0,0
Solyc03g058310,0,0,0,0,0,0
Solyc03g058320,0,0,0,0,0,0
Solyc03g058330,53,67,171,29,229,260
Solyc03g058340,33,74,31,50,70,63
Solyc03g058350,678,787,506,386,541,587
Solyc03g058360,0,0,0,0,0,0
Solyc03g058370,0,0,0,0,1,1
Solyc03g058380,632,726,470,645,762,835
Solyc03g058390,295,295,267,324,351,391
Solyc03g058400,0,0,0,0,0,0
Solyc03g058410,0,0,0,0,0,0
Solyc03g058420,0,0,0,0,0,0
Solyc03g058430,0,1,0,0,0,1
Solyc03g058440,0,0,0,0,0,0
Solyc03g058450,0,0,0,0,0,0
Solyc03g058460,0,0,0,0,0,0
Solyc03g058470,59,49,44,68,72,91
Solyc03g058480,2,1,4,1,1,4
Solyc03g058490,3,5,17,0,4,4
Solyc03g058500,1,0,7,2,2,5
Solyc03g058510,0,0,0,0,0,0
Solyc03g058520,0,0,0,0,0,0
Solyc03g058530,0,0,0,0,0,0
Solyc03g058540,0,0,0,0,0,0
Solyc03g058550,0,0,0,0,0,0
Solyc03g058560,0,0,0,0,0,0
Solyc03g058570,0,0,0,0,0,0
Solyc03g058580,0,0,0,0,0,0
Solyc03g058610,0,0,0,0,0,0
Solyc03g058620,0,0,0,0,0,0
Solyc03g058630,0,0,0,0,0,0
Solyc03g058640,0,0,0,0,0,0
Solyc03g058650,0,0,0,0,0,0
Solyc03g058660,0,0,0,0,0,0
Solyc03g058670,1,0,1,0,2,0
Solyc03g058680,0,0,0,0,0,0
Solyc03g058690,0,0,0,0,0,0
Solyc03g058700,0,0,0,0,0,0
Solyc03g058710,0,0,0,0,0,0
Solyc03g058720,0,0,0,0,0,0
Solyc03g058730,0,0,0,0,0,0
Solyc03g058740,0,0,0,0,0,0
Solyc03g058750,2,0,1,1,0,0
Solyc03g058780,0,0,0,0,0,0
Solyc03g058790,0,0,0,0,0,0
Solyc03g058800,0,0,0,0,0,0
Solyc03g058810,0,0,0,0,0,0
Solyc03g058820,0,0,1,0,0,0
Solyc03g058830,0,0,0,0,0,0
Solyc03g058840,1,0,1,0,0,0
Solyc03g058850,0,0,0,0,0,0
Solyc03g058860,84,99,80,73,82,58
Solyc03g058870,0,0,0,0,0,0
Solyc03g058880,198,248,196,247,300,285
Solyc03g058890,0,0,0,0,0,0
Solyc03g058900,3,5,3,4,6,4
Solyc03g058910,1,1,0,0,0,0
Solyc03g058920,104,150,94,520,649,654
Solyc03g058930,6,11,12,6,14,4
Solyc03g058940,10,12,10,4,6,2
Solyc03g058950,20,20,13,2,14,14
Solyc03g058960,0,0,0,0,0,0
Solyc03g058970,789,1159,781,349,457,299
Solyc03g058980,0,0,0,0,0,0
Solyc03g058990,50,49,31,71,79,152
Solyc03g059000,0,0,0,0,0,0
Solyc03g059010,113,160,133,163,211,246
Solyc03g059020,0,0,0,0,0,0
Solyc03g059030,209,307,230,113,146,105
Solyc03g059040,0,0,0,0,0,0
Solyc03g059050,0,1,1,0,0,1
Solyc03g059060,0,0,0,0,0,0
Solyc03g059070,35,65,23,23,13,30
Solyc03g059080,0,0,2,0,0,0
Solyc03g059090,2,3,2,0,1,1
Solyc03g059100,463,498,400,418,447,425
Solyc03g059110,0,1,2,0,1,0
Solyc03g059120,0,0,0,0,0,0
Solyc03g059130,0,0,0,0,0,0
Solyc03g059140,13,16,8,25,31,23
Solyc03g059150,26,39,35,58,40,57
Solyc03g059160,48,56,46,60,81,75
Solyc03g059170,220,443,281,158,174,133
Solyc03g059180,220,407,235,166,240,131
Solyc03g059190,2,3,2,0,0,0
Solyc03g059200,0,0,0,0,0,0
Solyc03g059210,8,8,1,1,5,3
Solyc03g059220,0,0,0,0,0,0
Solyc03g059230,0,0,0,0,0,0
Solyc03g059240,0,0,0,0,0,0
Solyc03g059250,100,196,130,78,74,51
Solyc03g059260,86,112,66,129,219,135
Solyc03g059270,0,0,0,0,0,0
Solyc03g059280,0,0,0,0,0,0
Solyc03g059290,0,0,0,0,0,0
Solyc03g059300,0,0,0,0,0,0
Solyc03g059310,290,502,350,394,437,311
Solyc03g059320,108,116,112,63,96,100
Solyc03g059330,0,0,0,0,0,0
Solyc03g059340,1,0,0,0,0,0
Solyc03g059350,1,4,2,3,2,6
Solyc03g059360,3,14,7,4,9,5
Solyc03g059370,0,0,0,0,0,0
Solyc03g059380,0,0,1,0,0,0
Solyc03g059390,4,4,1,0,0,0
Solyc03g059400,19,12,19,16,16,16
Solyc03g059410,2,1,4,2,1,3
Solyc03g059420,378,490,353,288,365,397
Solyc03g059430,0,0,0,0,0,0
Solyc03g059440,0,0,0,0,0,0
Solyc03g059450,0,0,0,0,1,0
Solyc03g059460,0,0,0,0,0,0
Solyc03g059470,0,0,0,0,0,0
Solyc03g059480,49,50,39,25,26,16
Solyc03g059490,129,190,117,139,151,176
Solyc03g059500,0,0,0,0,0,0
Solyc03g060500,0,0,0,0,0,0
Solyc03g060510,5,6,2,2,8,4
Solyc03g060520,0,0,0,0,0,0
Solyc03g060530,0,0,0,0,0,0
Solyc03g061540,1,0,2,2,0,0
Solyc03g061550,0,0,0,0,0,0
Solyc03g061560,0,0,0,0,1,1
Solyc03g061570,0,0,0,0,0,0
Solyc03g061580,0,0,0,0,0,0
Solyc03g061590,88,106,83,44,57,63
Solyc03g061600,373,399,316,173,203,181
Solyc03g061610,0,0,0,0,0,0
Solyc03g061620,0,0,0,0,0,0
Solyc03g061630,0,0,0,0,0,0
Solyc03g061640,0,0,0,0,0,0
Solyc03g061650,0,0,0,0,0,0
Solyc03g062650,298,360,250,173,195,176
Solyc03g062660,25,28,22,1,5,0
Solyc03g062670,0,2,0,0,1,0
Solyc03g062680,109,172,114,160,242,182
